dirname,filename,filename_abb,state_id,state_name,district_id,district_name
~/iec/pc01/district_handbooks/,DH_04_2001_CHA.pdf,CHA,4,chandigarh,1,chandigarh
~/iec/pc01/district_handbooks//eb_table_extracts,DH_04_2001_CHA_EB.pdf,CHA_EB,4,chandigarh,1,chandigarh
~/iec/pc01/district_handbooks/,DH_05_2001_BAG.pdf,BAG,5,uttarakhand,8,bageshwar
~/iec/pc01/district_handbooks/,DH_05_2001_GAR_VOL-02.pdf,GAR_VOL-02,5,uttarakhand,6,garhwal
~/iec/pc01/district_handbooks//eb_table_extracts,DH_05_2001_GAR_VOL-02_EB.pdf,GAR_VOL-02_EB,5,uttarakhand,6,garhwal
~/iec/pc01/district_handbooks/,DH_05_2001_HAR.pdf,HAR,5,uttarakhand,13,hardwar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_05_2001_HAR_EB.pdf,HAR_EB,5,uttarakhand,13,hardwar
~/iec/pc01/district_handbooks/,DH_05_2001_RUD.pdf,RUD,5,uttarakhand,3,rudraprayag
~/iec/pc01/district_handbooks//eb_table_extracts,DH_05_2001_RUD_EB.pdf,RUD_EB,5,uttarakhand,3,rudraprayag
~/iec/pc01/district_handbooks/,DH_05_2001_TEH_VOL-01.pdf,TEH_VOL-01,5,uttarakhand,4,tehri garhwal
~/iec/pc01/district_handbooks/,DH_05_2001_TEH_VOL-02.pdf,TEH_VOL-02,5,uttarakhand,4,tehri garhwal
~/iec/pc01/district_handbooks//eb_table_extracts,DH_05_2001_TEH_VOL-02_EB.pdf,TEH_VOL-02_EB,5,uttarakhand,4,tehri garhwal
~/iec/pc01/district_handbooks/,DH_05_2001_UDH.pdf,UDH,5,uttarakhand,12,udham singh nagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_05_2001_UDH_EB.pdf,UDH_EB,5,uttarakhand,12,udham singh nagar
~/iec/pc01/district_handbooks/,DH_05_2001_UTT.pdf,UTT,5,uttarakhand,1,uttarkashi
~/iec/pc01/district_handbooks/,DH_08_2001_AJM.pdf,AJM,8,rajasthan,21,ajmer
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_AJM_EB.pdf,AJM_EB,8,rajasthan,21,ajmer
~/iec/pc01/district_handbooks/,DH_08_2001_ALW.pdf,ALW,8,rajasthan,6,alwar
~/iec/pc01/district_handbooks/,DH_08_2001_BAN.pdf,BAN,8,rajasthan,28,banswara
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_BAN_EB.pdf,BAN_EB,8,rajasthan,28,banswara
~/iec/pc01/district_handbooks/,DH_08_2001_BAR.pdf,BAR,8,rajasthan,17,barmer
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_BAR_EB.pdf,BAR_EB,8,rajasthan,17,barmer
~/iec/pc01/district_handbooks/,DH_08_2001_BHA.pdf,BHA,8,rajasthan,7,bharatpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_BHA_EB.pdf,BHA_EB,8,rajasthan,7,bharatpur
~/iec/pc01/district_handbooks/,DH_08_2001_BHI.pdf,BHI,8,rajasthan,24,bhilwara
~/iec/pc01/district_handbooks/,DH_08_2001_BIK.pdf,BIK,8,rajasthan,3,bikaner
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_BIK_EB.pdf,BIK_EB,8,rajasthan,3,bikaner
~/iec/pc01/district_handbooks/,DH_08_2001_BRN.pdf,BRN,8,rajasthan,31,baran
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_BRN_EB.pdf,BRN_EB,8,rajasthan,31,baran
~/iec/pc01/district_handbooks/,DH_08_2001_BUN.pdf,BUN,8,rajasthan,23,bundi
~/iec/pc01/district_handbooks/,DH_08_2001_CHI.pdf,CHI,8,rajasthan,29,chittaurgarh
~/iec/pc01/district_handbooks/,DH_08_2001_CHU.pdf,CHU,8,rajasthan,4,churu
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_CHU_EB.pdf,CHU_EB,8,rajasthan,4,churu
~/iec/pc01/district_handbooks/,DH_08_2001_DAU.pdf,DAU,8,rajasthan,11,dausa
~/iec/pc01/district_handbooks/,DH_08_2001_DHA.pdf,DHA,8,rajasthan,8,dhaulpur
~/iec/pc01/district_handbooks/,DH_08_2001_DUN.pdf,DUN,8,rajasthan,27,dungarpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_DUN_EB.pdf,DUN_EB,8,rajasthan,27,dungarpur
~/iec/pc01/district_handbooks/,DH_08_2001_GAN.pdf,GAN,8,rajasthan,1,ganganagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_GAN_EB.pdf,GAN_EB,8,rajasthan,1,ganganagar
~/iec/pc01/district_handbooks/,DH_08_2001_HAN.pdf,HAN,8,rajasthan,2,hanumangarh
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_HAN_EB.pdf,HAN_EB,8,rajasthan,2,hanumangarh
~/iec/pc01/district_handbooks/,DH_08_2001_JAI.pdf,JAI,8,rajasthan,12,jaipur
~/iec/pc01/district_handbooks/,DH_08_2001_JAL.pdf,JAL,8,rajasthan,18,jalor
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_JAL_EB.pdf,JAL_EB,8,rajasthan,18,jalor
~/iec/pc01/district_handbooks/,DH_08_2001_JHA.pdf,JHA,8,rajasthan,32,jhalawar
~/iec/pc01/district_handbooks/,DH_08_2001_JHU.pdf,JHU,8,rajasthan,5,jhunjhunun
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_JHU_EB.pdf,JHU_EB,8,rajasthan,5,jhunjhunun
~/iec/pc01/district_handbooks/,DH_08_2001_JOD.pdf,JOD,8,rajasthan,15,jodhpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_JOD_EB.pdf,JOD_EB,8,rajasthan,15,jodhpur
~/iec/pc01/district_handbooks/,DH_08_2001_JSL.pdf,JSL,8,rajasthan,16,jaisalmer
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_JSL_EB.pdf,JSL_EB,8,rajasthan,16,jaisalmer
