input_pdf_name,output_csv_name,error_flag,recreate_flag
DH_27_2001_NAG_EB.pdf,DH_27_2001_NAG_EB.csv,0,0
DH_10_2001_PAT_EB.pdf,DH_10_2001_PAT_EB.csv,0,0
DH_29_2001_GAD_EB.pdf,DH_29_2001_GAD_EB.csv,0,0
DH_28_2001_NAL_EB.pdf,DH_28_2001_NAL_EB.csv,0,0
DH_22_2001_KOY_EB.pdf,DH_22_2001_KOY_EB.csv,0,0
DH_10_2001_ARA_EB.pdf,DH_10_2001_ARA_EB.csv,0,0
DH_23_2001_SEH_EB.pdf,DH_23_2001_SEH_EB.csv,0,0
DH_17_2001_RIB_EB.pdf,DH_17_2001_RIB_EB.csv,0,0
DH_23_2001_HOS_EB.pdf,DH_23_2001_HOS_EB.csv,0,0
DH_10_2001_BEG_EB.pdf,DH_10_2001_BEG_EB.csv,0,0
DH_24_2001_AHM_EB.pdf,DH_24_2001_AHM_EB.csv,0,0
DH_09_2001_UNA_EB.pdf,DH_09_2001_UNA_EB.csv,0,0
DH_10_2001_SHE_EB.pdf,DH_10_2001_SHE_EB.csv,0,0
DH_10_2001_KAI_EB.pdf,DH_10_2001_KAI_EB.csv,0,0
DH_18_2001_LAK_EB.pdf,DH_18_2001_LAK_EB.csv,0,0
DH_08_2001_BIK_EB.pdf,DH_08_2001_BIK_EB.csv,0,0
DH_08_2001_HAN_EB.pdf,DH_08_2001_HAN_EB.csv,0,0
DH_19_2001_BIR_EB.pdf,DH_19_2001_BIR_EB.csv,0,0
DH_18_2001_SIB_EB.pdf,DH_18_2001_SIB_EB.csv,0,0
DH_17_2001_WKHA_EB.pdf,DH_17_2001_WKHA_EB.csv,0,0
DH_28_2001_NIZ_EB.pdf,DH_28_2001_NIZ_EB.csv,0,0
DH_20_2001_GAR_EB.pdf,DH_20_2001_GAR_EB.csv,0,0
DH_08_2001_BHA_EB.pdf,DH_08_2001_BHA_EB.csv,0,0
DH_33_2001_NAM_EB.pdf,DH_33_2001_NAM_EB.csv,0,0
DH_27_2001_WAS_EB.pdf,DH_27_2001_WAS_EB.csv,0,0
DH_33_2001_PER_EB.pdf,DH_33_2001_PER_EB.csv,0,0
DH_23_2001_PAN_EB.pdf,DH_23_2001_PAN_EB.csv,0,0
DH_10_2001_ROH_EB.pdf,DH_10_2001_ROH_EB.csv,0,0
DH_21_2001_NUA_EB.pdf,DH_21_2001_NUA_EB.csv,0,0
DH_33_2001_COI_EB.pdf,DH_33_2001_COI_EB.csv,0,0
DH_03_2001_FAT_EB.pdf,DH_03_2001_FAT_EB.csv,0,0
DH_22_2001_BIL_EB.pdf,DH_22_2001_BIL_EB.csv,0,0
DH_23_2001_RAI_EB.pdf,DH_23_2001_RAI_EB.csv,0,0
DH_08_2001_BRN_EB.pdf,DH_08_2001_BRN_EB.csv,0,0
DH_02_2001_B_MAN_EB.pdf,DH_02_2001_B_MAN_EB.csv,0,0
DH_28_2001_RAN_EB.pdf,DH_28_2001_RAN_EB.csv,0,0
DH_27_2001_BUL_EB.pdf,DH_27_2001_BUL_EB.csv,0,0
DH_33_2001_THE_EB.pdf,DH_33_2001_THE_EB.csv,0,0
DH_16_2001_DHA_EB.pdf,DH_16_2001_DHA_EB.csv,0,0
DH_08_2001_JSL_EB.pdf,DH_08_2001_JSL_EB.csv,0,0
DH_03_2001_HOS_EB.pdf,DH_03_2001_HOS_EB.csv,0,0
DH_15_2001_LUN_EB.pdf,DH_15_2001_LUN_EB.csv,0,0
DH_18_2001_KAM_EB.pdf,DH_18_2001_KAM_EB.csv,0,0
DH_08_2001_NAG_EB.pdf,DH_08_2001_NAG_EB.csv,0,0
DH_09_2001_RAE_EB.pdf,DH_09_2001_RAE_EB.csv,0,0
DH_23_2001_SAG_EB.pdf,DH_23_2001_SAG_EB.csv,0,0
DH_12_2001_LSUB_EB.pdf,DH_12_2001_LSUB_EB.csv,0,0
DH_28_2001_WAR_EB.pdf,DH_28_2001_WAR_EB.csv,0,0
DH_25_2001_DAM_EB.pdf,DH_25_2001_DAM_EB.csv,0,0
DH_09_2001_RAM_EB.pdf,DH_09_2001_RAM_EB.csv,0,0
DH_09_2001_BAN_EB.pdf,DH_09_2001_BAN_EB.csv,0,0
DH_29_2001_TUM_EB.pdf,DH_29_2001_TUM_EB.csv,0,0
DH_09_2001_PIL_EB.pdf,DH_09_2001_PIL_EB.csv,0,0
DH_23_2001_NEE_EB.pdf,DH_23_2001_NEE_EB.csv,0,0
DH_33_2001_MAD_EB.pdf,DH_33_2001_MAD_EB.csv,0,0
DH_23_2001_CHN_EB.pdf,DH_23_2001_CHN_EB.csv,0,0
DH_20_2001_LO_EB.pdf,DH_20_2001_LO_EB.csv,0,0
DH_08_2001_UDA_EB.pdf,DH_08_2001_UDA_EB.csv,0,0
DH_08_2001_BAN_EB.pdf,DH_08_2001_BAN_EB.csv,0,0
DH_29_2001_DHA_EB.pdf,DH_29_2001_DHA_EB.csv,0,0
DH_29_2001_UKAN_EB.pdf,DH_29_2001_UKAN_EB.csv,0,0
DH_09_2001_SIT_EB.pdf,DH_09_2001_SIT_EB.csv,0,0
DH_22_2001_KAW_EB.pdf,DH_22_2001_KAW_EB.csv,0,0
DH_29_2001_BAG_EB.pdf,DH_29_2001_BAG_EB.csv,0,0
DH_24_2001_JAM_EB.pdf,DH_24_2001_JAM_EB.csv,0,0
DH_24_2001_BHA_EB.pdf,DH_24_2001_BHA_EB.csv,0,0
